question_id	question_rank	document_title	paragraph_index
100	2	Sino-Tibetan_relations_during_the_Ming_dynasty	8
100	3	Han_dynasty	5
100	4	Qing_dynasty	50
100	5	Qing_dynasty	0
103	1	History_of_India	28
103	2	Bird_migration	5
103	3	Slavs	34
103	4	Pesticide	18
103	5	Symbiosis	8
106	1	Slavs	34
106	2	Pesticide	18
106	3	Institute_of_technology	9
106	4	Bird_migration	5
106	5	Punjab,_Pakistan	21
109	1	Sino-Tibetan_relations_during_the_Ming_dynasty	59
109	2	Sino-Tibetan_relations_during_the_Ming_dynasty	34
109	3	Hindu_philosophy	21
109	4	Sino-Tibetan_relations_during_the_Ming_dynasty	22
109	5	Sino-Tibetan_relations_during_the_Ming_dynasty	35
112	1	Queen_Victoria	36
112	2	Queen_(band)	53
112	3	Liberia	22
112	4	Slavs	34
112	5	Tristan_da_Cunha	5
115	1	Hunting	34
115	2	Symbiosis	9
115	3	Slavs	34
115	4	Symbiosis	8
115	5	Aspirated_consonant	14
118	1	Nigeria	16
118	2	Nigeria	3
118	3	Slavs	34
118	4	Nigeria	31
118	5	Rajasthan	12
121	1	Zinc	10
121	2	Zinc	14
121	3	Zinc	30
121	4	Zinc	17
121	5	Diarrhea	15
124	1	Hunting	14
124	2	Hunting	10
124	3	Catalan_language	69
124	4	Hunting	17
124	5	Hunting	9
127	1	Slavs	34
127	2	Hindu_philosophy	21
127	3	Pesticide	18
127	4	Institute_of_technology	9
127	5	Bird_migration	5
130	1	Bird_migration	52
130	2	Bird_migration	37
130	3	Bird_migration	46
130	4	Bird_migration	27
130	5	Bird	54
133	1	Slavs	34
133	2	Pesticide	18
133	3	Bird_migration	5
133	4	Dutch_Republic	14
133	5	Symbiosis	8
136	1	Slavs	34
136	2	Galicia_(Spain)	24
136	3	Pesticide	18
136	4	Greeks	34
136	5	Punjab,_Pakistan	21
139	1	Athanasius_of_Alexandria	0
139	2	Athanasius_of_Alexandria	22
139	3	Athanasius_of_Alexandria	18
139	4	Athanasius_of_Alexandria	13
139	5	Athanasius_of_Alexandria	30
142	1	Slavs	34
142	2	Pesticide	18
142	3	Galicia_(Spain)	24
142	4	Punjab,_Pakistan	21
142	5	Bird_migration	5
145	1	Kathmandu	50
145	2	Kathmandu	7
145	3	Kathmandu	16
145	4	Buddhism	114
145	5	Kathmandu	51
148	1	Somerset	6
148	2	The_Times	47
148	3	Slavs	34
148	4	Pesticide	18
148	5	Institute_of_technology	9
151	1	Slavs	34
151	2	Pesticide	18
151	3	Punjab,_Pakistan	21
151	4	Bird_migration	5
151	5	Galicia_(Spain)	24
154	1	Slavs	34
154	2	Bird_migration	5
154	3	Symbiosis	8
154	4	Punjab,_Pakistan	21
154	5	Pesticide	18
157	1	Quran	23
157	2	Textual_criticism	20
157	3	Printed_circuit_board	17
157	4	Slavs	34
157	5	Rajasthan	12
160	1	Symbiosis	8
160	2	Slavs	34
160	3	Pesticide	18
160	4	Bird_migration	5
160	5	Punjab,_Pakistan	21
163	1	Slavs	34
163	2	Bird_migration	5
163	3	Symbiosis	8
163	4	Pesticide	18
163	5	Punjab,_Pakistan	21
166	1	The_Times	50
166	2	Slavs	34
166	3	Pesticide	18
166	4	Bird_migration	5
166	5	Institute_of_technology	9
169	1	Muammar_Gaddafi	60
169	2	Muammar_Gaddafi	61
169	3	Muammar_Gaddafi	59
169	4	Muammar_Gaddafi	46
169	5	Muammar_Gaddafi	34
172	1	Slavs	34
172	2	Bird_migration	5
172	3	Punjab,_Pakistan	21
172	4	Symbiosis	8
172	5	Pesticide	18
175	1	Slavs	34
175	2	Institute_of_technology	9
175	3	Pesticide	18
175	4	Bird_migration	5
175	5	Punjab,_Pakistan	21
178	1	New_Haven,_Connecticut	65
178	2	New_Haven,_Connecticut	62
178	3	New_Haven,_Connecticut	64
178	4	New_Haven,_Connecticut	43
178	5	New_Haven,_Connecticut	3
181	1	The_Bronx	4
181	2	The_Bronx	56
181	3	The_Bronx	6
181	4	The_Bronx	15
181	5	The_Bronx	50
184	1	Russian_Soviet_Federative_Socialist_Republic	2
184	2	Russian_Soviet_Federative_Socialist_Republic	17
184	3	Russian_Soviet_Federative_Socialist_Republic	11
184	4	Federalism	17
184	5	Molotov%E2%80%93Ribbentrop_Pact	21
187	1	Catalan_language	20
187	2	Catalan_language	26
187	3	Catalan_language	68
187	4	Catalan_language	31
187	5	Catalan_language	71
190	1	Cotton	15
190	2	Cotton	7
190	3	Cotton	16
190	4	Cotton	8
190	5	Cotton	18
193	1	Pesticide	18
193	2	Slavs	34
193	3	Umayyad_Caliphate	24
193	4	Bird_migration	5
193	5	2008_Summer_Olympics_torch_relay	11
196	1	Slavs	34
196	2	Tibet	6
196	3	Bird_migration	5
196	4	Pesticide	18
196	5	Symbiosis	8
199	1	San_Diego	29
199	2	San_Diego	44
199	3	San_Diego	39
199	4	San_Diego	43
199	5	San_Diego	5
202	1	Slavs	34
202	2	Pesticide	18
202	3	Bird_migration	5
202	4	Institute_of_technology	9
202	5	Galicia_(Spain)	24
205	1	Alexander_Graham_Bell	58
205	2	Westminster_Abbey	33
205	3	Alexander_Graham_Bell	64
205	4	Alexander_Graham_Bell	0
205	5	Westminster_Abbey	34
208	1	Slavs	34
208	2	Pesticide	18
208	3	Punjab,_Pakistan	21
208	4	Symbiosis	8
208	5	New_Delhi	33
211	1	Institute_of_technology	9
211	2	Slavs	34
211	3	Pesticide	18
211	4	Symbiosis	9
211	5	Insect	31
214	1	Punjab,_Pakistan	21
214	2	Printed_circuit_board	6
214	3	Bird_migration	5
214	4	Slavs	34
214	5	Symbiosis	8
217	1	Cubism	30
217	2	Cubism	34
217	3	Cubism	38
217	4	Cubism	32
217	5	Neoclassical_architecture	0
220	1	Slavs	34
220	2	Pesticide	18
220	3	Punjab,_Pakistan	21
220	4	MP3	27
220	5	Galicia_(Spain)	24
223	1	Slavs	34
223	2	Pesticide	18
223	3	Institute_of_technology	9
223	4	Punjab,_Pakistan	21
223	5	Galicia_(Spain)	24
226	1	Pub	76
226	2	Saint_Helena	38
226	3	Pub	29
226	4	Pub	77
226	5	Pub	46
229	1	Slavs	34
229	2	Symbiosis	8
229	3	Punjab,_Pakistan	21
229	4	Bird_migration	5
229	5	Galicia_(Spain)	24
232	1	Bird_migration	5
232	2	Slavs	34
232	3	Symbiosis	8
232	4	Pesticide	18
232	5	Punjab,_Pakistan	21
235	1	List_of_numbered_streets_in_Manhattan	0
235	2	Galicia_(Spain)	24
235	3	Slavs	34
235	4	Bird_migration	5
235	5	Pesticide	18
238	1	Queen_Victoria	36
238	2	Queen_(band)	53
238	3	Tristan_da_Cunha	5
238	4	Queen_Victoria	4
238	5	Slavs	34
241	1	USB	30
241	2	USB	29
241	3	USB	33
241	4	USB	2
241	5	USB	24
244	1	Slavs	34
244	2	Pesticide	18
244	3	Institute_of_technology	9
244	4	Symbiosis	9
244	5	Bird_migration	5
247	1	Symbiosis	8
247	2	Slavs	34
247	3	Pesticide	18
247	4	Bird_migration	5
247	5	Galicia_(Spain)	24
250	1	Slavs	34
250	2	Estonia	6
250	3	Pesticide	18
250	4	Bird_migration	5
250	5	Punjab,_Pakistan	21
253	1	Samurai	40
253	2	Samurai	30
253	3	Samurai	44
253	4	Modern_history	7
253	5	Samurai	19
256	1	Bird_migration	5
256	2	Symbiosis	8
256	3	University	1
256	4	University	11
256	5	Punjab,_Pakistan	21
259	1	Slavs	34
259	2	Planck_constant	13
259	3	Computer	55
259	4	Solar_energy	14
259	5	Pesticide	18
262	1	Symbiosis	8
262	2	Slavs	34
262	3	Punjab,_Pakistan	21
262	4	Bird_migration	5
262	5	Galicia_(Spain)	24
265	1	Dog	16
265	2	Dog	15
265	3	Dog	50
265	4	Dog	28
265	5	Dog	24
268	1	Computer_security	17
268	2	Slavs	34
268	3	Bird_migration	5
268	4	St._John%27s,_Newfoundland_and_Labrador	22
268	5	Symbiosis	8
271	1	Mexico_City	65
271	2	Mexico_City	0
271	3	Mexico_City	24
271	4	Mexico_City	83
271	5	Mexico_City	85
274	1	Slavs	34
274	2	Punjab,_Pakistan	21
274	3	Bird_migration	5
274	4	Pesticide	18
274	5	Galicia_(Spain)	24
277	1	Slavs	34
277	2	Pesticide	18
277	3	Galicia_(Spain)	24
277	4	Bird_migration	5
277	5	Punjab,_Pakistan	21
280	1	Slavs	34
280	2	Pesticide	18
280	3	Bird_migration	5
280	4	Punjab,_Pakistan	21
280	5	Symbiosis	8
283	1	Detroit	38
283	2	Slavs	34
283	3	Bird_migration	5
283	4	Chihuahua_(state)	63
283	5	Symbiosis	8
286	1	East_India_Company	24
286	2	East_India_Company	30
286	3	Dutch_Republic	15
286	4	History_of_India	64
286	5	Saint_Helena	8
289	1	Steven_Spielberg	1
289	2	Steven_Spielberg	46
289	3	Steven_Spielberg	21
289	4	Steven_Spielberg	47
289	5	Steven_Spielberg	8
292	1	North_Carolina	56
292	2	North_Carolina	52
292	3	Atlantic_City,_New_Jersey	0
292	4	Raleigh,_North_Carolina	9
292	5	North_Carolina	55
295	1	Antarctica	3
295	2	Symbiosis	8
295	3	Alps	17
295	4	Slavs	34
295	5	Antarctica	21
298	1	Cyprus	52
298	2	Cyprus	40
298	3	Cyprus	16
298	4	Cyprus	20
298	5	Cyprus	19
